No(idではない),name,ingredients,brand_name,production_area_name,food_type_name,calorie,target_age,rakuten_name,rakuten_item_code,medium_image_url,min_price,max_price,median_price,add_date
1,チャオ　すごい乳酸菌　クランキー　超小粒　チキン味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、チキンエキスパウダー、タンパク加水分解物、殺菌乳酸菌、酵母細胞壁、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B₁、B₂、B₆、葉酸、コリン）、pH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ すごい乳酸菌 クランキー　超小粒　チキン味,fujix:12157023,https://thumbnail.image.rakuten.co.jp/@0_mall/fujix/cabinet/pet09/p4901133501777.jpg,196,9345,255,2023-08-01 23:20:49 +0900
2,チャオ　すごい乳酸菌　クランキー　超小粒　かつお節味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、かつお節パウダー、フィッシュパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、殺菌乳酸菌、酵母細胞壁、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B₁、B₂、B₆、葉酸、コリン）、pH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ すごい乳酸菌 クランキー　超小粒　かつお節味,ichinennet-plus:10475899,https://thumbnail.image.rakuten.co.jp/@0_mall/ichinennet-plus/cabinet/icn36/icn-rps-001450165.jpg,196,9345,220,2023-08-01 23:20:49 +0900
3,チャオ　すごい乳酸菌　クランキー　超小粒　まぐろ節味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、まぐろ節パウダー、フィッシュパウダー）、ミートミール、動物性油脂、豆類（脱脂大豆等）、ビール酵母、タンパク加水分解物、殺菌乳酸菌、酵母細胞壁、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B₁、B₂、B₆、葉酸、コリン）、pH調整剤、アミノ酸類（メチオニン、タウリン）、緑茶エキス,いなばペットフード,日本,ドライ,350,全年齢,チャオ すごい乳酸菌 クランキー　超小粒　まぐろ節味,jism:14009336,https://thumbnail.image.rakuten.co.jp/@0_mall/jism/cabinet/0088/4901133271472.jpg,196,9345,299,2023-08-01 23:20:49 +0900
4,チャオ　ちゅ～る和え　190g　まぐろ節ミックス味　小魚入り,穀類（とうもろこし、小麦粉、パン粉糖）、魚介類（フィッシュミール、フィッシュエキス、小魚、まぐろ節パウダー、フィッシュパウダー、まぐろ、まぐろエキス）、ミートミール、動物性油脂、豆類（脱脂大豆等）、酵母類（ビール酵母、酵母細胞壁等）、タンパク加水分解物、糖類（オリゴ糖等）、植物発酵抽出物、植物性油脂、ミネラル類（Ca、P、K、Fe、Zn、Cu、Na、Mg、Cl、I）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、pH調整剤、アミノ酸類（メチオニン、タウリン）、酸化防止剤（ミックストコフェロール、アスコルビン酸等）、緑茶エキス、増粘安定剤（加工でん粉、増粘多糖類）、調味料（アミノ酸）、紅麹色素,いなばペットフード,日本,ドライ,350,全年齢,チャオ ちゅ～る和え　190g　まぐろ節ミックス味　小魚入り,rakuten24:11157829,https://thumbnail.image.rakuten.co.jp/@0_mall/chanet/cabinet/2865/286197-1.jpg,356,387,383,2023-08-01 23:20:49 +0900
5,チャオ　ちゅ～る和え　190g　チキンミックス味　まぐろチップ入り,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、まぐろチップ、フィッシュパウダー、まぐろ、まぐろエキス）、ミートミール、動物性油脂、豆類（脱脂大豆等）、酵母類（ビール酵母、酵母細胞壁等）、タンパク加水分解物、チキンエキスパウダー、糖類（オリゴ糖等）、植物発酵抽出物、植物性油脂、ミネラル類（Ca、P、K、Fe、Zn、Cu、Na、Mg、Cl、I）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、pH調整剤、アミノ酸類（メチオニン、タウリン）、酸化防止剤（ミックストコフェロール、アスコルビン酸等）、緑茶エキス、増粘安定剤（加工でん粉、増粘多糖類）、調味料（アミノ酸）、紅麹色素,いなばペットフード,日本,ドライ,350,全年齢,チャオ ちゅ～る和え　190g　チキンミックス味　まぐろチップ入り,chanet:11089954,https://thumbnail.image.rakuten.co.jp/@0_mall/chanet/cabinet/2865/286196-1.jpg,345,383,364,2023-08-01 23:20:49 +0900
6,チャオ　クランキー　ちゅ～る和え　190ｇかつお節ミックス味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、かつお節、かつお節パウダー、フィッシュパウダー、まぐろ、まぐろエキス）、ミートミール、動物性油脂、豆類（脱脂大豆等）、酵母類（ビール酵母、酵母細胞壁等）、タンパク加水分解物、糖類（オリゴ糖等）、植物発酵抽出物、植物性油脂、ミネラル類（Ca、P、K、Fe、Zn、Cu、Na、Mg、Cl、I）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、pH調整剤、酸化防止剤（ミックストコフェロール、アスコルビン酸等）、増粘安定剤（加工でん粉、増粘多糖類）、調味料（アミノ酸）、緑茶エキス、紅麹色素,いなばペットフード,日本,ドライ,350,全年齢,チャオ クランキー ちゅ～る和え　190ｇかつお節ミックス味,chanet:11083247,https://thumbnail.image.rakuten.co.jp/@0_mall/chanet/cabinet/2727/272268-1.jpg,341,4345,487,2023-08-01 23:20:49 +0900
7,チャオ　ちゅ～る和え　190ｇまぐろ節ミックス味,穀類（とうもろこし、小麦粉、パン粉等）、魚介類（フィッシュミール、フィッシュエキス、まぐろチップ、まぐろ節パウダー、フィッシュパウダー、まぐろ、まぐろエキス）、ミートミール、動物性油脂、豆類（脱脂大豆等）、酵母類（ビール酵母、酵母細胞壁等）、タンパク加水分解物、糖類（オリゴ糖等）、植物発酵抽出物、植物性油脂、ミネラル類（Ca、P、K、Fe、Zn、Cu、Na、Mg、Cl、I）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、pH調整剤、酸化防止剤（ミックストコフェロール、アスコルビン酸等）、増粘安定剤（加工でん粉、増粘多糖類）、調味料（アミノ酸）、緑茶エキス、紅麹色素,いなばペットフード,日本,ドライ,350,全年齢,チャオ ちゅ～る和え　190ｇまぐろ節ミックス味,rakuten24:11157829,https://thumbnail.image.rakuten.co.jp/@0_mall/premoa/cabinet/pics/350/4901133331664.jpg,310,6170,487,2023-08-01 23:20:49 +0900
8,チャオ　すごい乳酸菌　クランキー　子ねこ用　まぐろ節味,穀類（小麦粉、パン粉、コーングルテンミール等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、まぐろ節パウダー）、ミートミール、動物性油脂、粉末セルロース、ビール酵母、豆類（脱脂大豆等）、タンパク加水分解物、ミルクカルシウム、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐH調整剤、アルギニングルタミン酸塩,いなばペットフード,日本,ドライ,360,子猫,チャオ すごい乳酸菌 クランキー　子ねこ用　まぐろ節味,rakuten24:11124372,https://thumbnail.image.rakuten.co.jp/@0_mall/dcmonline/cabinet/b9503/4901133723261.jpg,260,5527,1534,2023-08-01 23:20:49 +0900
9,チャオ　すごい乳酸菌　クランキー　本格鰹だし味,穀類（小麦粉、パン粉、コーングルテンミール等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、かつお節エキスパウダー）、ミートミール、動物性油脂、粉末セルロース、ビール酵母、豆類（脱脂大豆等）、タンパク加水分解物、昆布エキスパウダー、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐH調整剤、アルギニングルタミン酸塩,いなばペットフード,日本,ドライ,360,全年齢,チャオ すごい乳酸菌 クランキー　本格鰹だし味,chanet:11083194,https://thumbnail.image.rakuten.co.jp/@0_mall/chanet/cabinet/2727/272240-1.jpg,170,10900,2136,2023-08-01 23:20:49 +0900
10,チャオ　すごい乳酸菌　クランキー　ほたて味,穀類（小麦粉、パン粉、コーングルテンミール等）、魚介類（フィッシュミール、フィッシュエキス、フィッシュパウダー、ほたてエキスパウダー）、ミートミール、動物性油脂、粉末セルロース、ビール酵母、豆類（脱脂大豆等）、タンパク加水分解物、酵母細胞壁、殺菌乳酸菌、植物発酵抽出物、ミネラル類（カルシウム、リン、カリウム、鉄、亜鉛、銅、ヨウ素）、ビタミン類（A、D、E、K、B1、B2、B6、葉酸、コリン）、アミノ酸類（メチオニン、タウリン）、ｐH調整剤、アルギニングルタミン酸塩,いなばペットフード,日本,ドライ,360,全年齢,チャオ すごい乳酸菌 クランキー　ほたて味,nyanzaq:10151596,https://thumbnail.image.rakuten.co.jp/@0_mall/pets-kojima/cabinet/07/07723247.jpg,170,6586,575,2023-08-01 23:20:49 +0900
